name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code,
nan,867,1,1,1,530,234,Freeway,1,0.17628,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.567198,39.790006,0.0 116.567348,39.788425,0.0</coordinates></LineString>","<LineString><coordinates>116.567198,39.790006,0.0 116.567348,39.788425,0.0</coordinates></LineString>",,,
nan,868,1,1,1,234,530,Freeway,1,0.17628,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.567348,39.788425,0.0 116.567198,39.790006,0.0</coordinates></LineString>","<LineString><coordinates>116.567348,39.788425,0.0 116.567198,39.790006,0.0</coordinates></LineString>",,,
隆庆街,869,1,1,1,150,495,Freeway,1,0.17692,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.512892,39.804918,0.0 116.511139,39.804071,0.0</coordinates></LineString>","<LineString><coordinates>116.512892,39.804918,0.0 116.511139,39.804071,0.0</coordinates></LineString>",,,
隆庆街,870,1,1,1,495,150,Freeway,1,0.17692,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.511139,39.804071,0.0 116.512892,39.804918,0.0</coordinates></LineString>","<LineString><coordinates>116.511139,39.804071,0.0 116.512892,39.804918,0.0</coordinates></LineString>",,,
隆庆街,871,1,1,1,495,150,Freeway,1,0.17692,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.511139,39.804071,0.0 116.512892,39.804918,0.0</coordinates></LineString>","<LineString><coordinates>116.511139,39.804071,0.0 116.512892,39.804918,0.0</coordinates></LineString>",,,
隆庆街,872,1,1,1,150,495,Freeway,1,0.17692,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.512892,39.804918,0.0 116.511139,39.804071,0.0</coordinates></LineString>","<LineString><coordinates>116.512892,39.804918,0.0 116.511139,39.804071,0.0</coordinates></LineString>",,,
nan,873,1,1,1,577,578,Freeway,1,0.17774,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.511436,39.773313,0.0 116.512040,39.774769,0.0</coordinates></LineString>","<LineString><coordinates>116.511436,39.773313,0.0 116.512040,39.774769,0.0</coordinates></LineString>",,,
nan,874,1,1,1,15,235,Freeway,1,0.17820,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.565166,39.791538,0.0 116.566976,39.792334,0.0</coordinates></LineString>","<LineString><coordinates>116.565166,39.791538,0.0 116.566976,39.792334,0.0</coordinates></LineString>",,,
nan,875,1,1,1,235,15,Freeway,1,0.17820,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.566976,39.792334,0.0 116.565166,39.791538,0.0</coordinates></LineString>","<LineString><coordinates>116.566976,39.792334,0.0 116.565166,39.791538,0.0</coordinates></LineString>",,,
nan,876,1,1,1,235,15,Freeway,1,0.17820,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.566976,39.792334,0.0 116.565166,39.791538,0.0</coordinates></LineString>","<LineString><coordinates>116.566976,39.792334,0.0 116.565166,39.791538,0.0</coordinates></LineString>",,,
